"Shape","Assembly","Box","Chairs","Debug","Drill","Edgebander","Finished","Heian1","Heian2","Packline","Paint","Saw","Scrapped","SNX-Band","SNX-Trim","Start","Table-Pack","Table-Pack2","T-nut","Vector","Weeke1","Weeke2"
"38-2228","","","","","","","3.2 0","","1.6","","","","","37.4 5.4 7.3 1.8 2 2.2 41.6","7.1 0.1","","69.3","58.5 8.3 14.4 2.7 5.9 73.3 47.2","","8.3 0 0.1","",""
"38-2216","","","","","","","","","","","","","","","","","6.2 3.7","","","9.7 0 10.1 0 0","","6.3 3.3 2.1 4.6 2.4 3.3 2.4 3.1 0 0 0 6.4 2.3 2.3 2.7 3.9 3.2"
"MG2216","","","","","","","","","","","","","","2.4 0 2.8 2.8 2.8 2.9 0.1 6.9","0.1 0.1 0.1 2.3 0.1","","","","","","","0 0"
"38-2224","","","","","","","","","","","","","","0.1 0.1 0.1","4.8 2.4 2.9","","","","","","","2.9 2.6 0 2.6 2.2"
"MG2224","","","","","","","","","","","","","","","0.1 1.9","","","957.7 958.2","","","",""
"41-2424","","","","","","","","","","","","","","4.2 1.3 1.4 1.5 0.9 3.2 3.6 0.9 3.6","0.1 0.1 0.1 0.1 6.8 8.3 12.2 16.6 0 2.5","","","25.4 18.2 36.7 42.8 33","","","","0 0 0 0 0"
"41-2429","","","","","","","","","","","","","","1.4","0.9","","","1.9","","","",""
"MG2226","","","","","","","","","3.7 2.6 2.8 6.7 2.8 2.2 2.6 2.7 4.6 2.2 3.5 2.5 2.8 3.4 2.7 2.9 2.9 2.8 3.2 2.6 3 2.7 3.3 4.1 4.3 2.8 2.1 3.1 7.9 2.7 2.7 3 0 0 0 0 0 0 0","","","","","1 1.2 1.1 1.1 1 1 1 1 0.9 0.9 1 1 1.1 1 1 0.9 2.4 2.1 3 3 4.7 1.6 1.6 1.5 1.5 4.1 4.1 3.2 0.3 1.5 2.2 1.8 2.5 2.5 2.1 2.2 1.8 0.1 1.4 11.2 1.4 1.1 1.1 18.7","1 25 0.1 17.2 32.7 31.3 29.7 28.3 42.1 39.1 40.6 34.2 7.6 13.3 1.3 43.5 0.5 5 3.2 52 0.1 0.1 0 0.6 0.1 0.1 2 0.1 0 8.3 0.1 10.5 0.1 0.1 0.1 0.1 5.6 6.5 0","","","","","","",""
"38-2226","","","","","","","","","0 0 0 0","","","","","0.2 1.3 1.4 0.9","0.1 0.1 0.1 0","","","","","","",""
"38-2247","","","","","","","","","2.7 3.5 2.7 0","","","","","","","","","","","","",""
"38-2268","","","","","","","","","","","","","","","","","","","","","",""
"MG2227","","","","","","","","","","","","","","","","","","","","","",""
"38-2227","","","","","","","","","","","","","","","","","","","","","",""
"MG2270","","","","","","","","","","","","","","","","","","","","","",""
"38-2270","","","","","","","","","","","","","","","","","","","","","",""
"MG2265","","","","","","","","","","","","","","","","","","","","","",""
"38-2284","","","","","","","","","","","","","","","","","","","","","",""
"38-2252","","","","","","","","","","","","","","","","","","","","","",""
"38-2222","","","","","","","","","","","","","","","","","","","","","",""
"38-2238","","","","","","","","","","","","","","","","","","","","","",""
